The SGML/XML Web Page,2006,"['Arnon Rosenthal', 'Robin Cover']"
XML-QL: A Query Language for XML,1998,"['Alin Deutsch', 'Mary F. Fernandez', 'Daniela Florescu', 'Alon Y. Levy', 'Dan Suciu']"
Internet Draft: Hypertext Transfer Protocol - HTTP/1.1,1999,"['Roy T. Fielding', 'Henrik Frystyk Nielsen', 'Tim Berners-Lee']"
Microtext Processing.,2014,"['Jessica Vitak', 'Richard Khoury', 'Rapha', 'Abdelwahab Hamou-Lhadj']"
Social Web Search.,2014,"['Maryam Shoaran', 'Alex Thomo', 'Jens H. Weber']"
Unicode.,2009,"['Gustavo Alonso', 'Ethan V. Munson']"
Top Management Team Networks.,2018,"['Kevin D. Clark', 'Patrick G. Maggitti']"
User Sentiment and Opinion Analysis.,2018,"['Petter Holme', 'Luana Batista']"
"Disaster Response and Relief, VGI Volunteer Motivation in.",2018,"['Ross Brennan', 'Dev Oliver', 'Rupa Tiwari', 'Michael R. Evans', 'Shashi Shekhar']"
Anonymization and De-anonymization of Social Network Data.,2014,"['Sean Chester', 'Bruce M. Kapron', 'Gautam Srivastava 0001', 'Srinivasan Venkatesh 0001', 'Alex Thomo']"
NetMiner.,2018,"['Ghi-Hoon Ghim', 'Kangmin Kim', 'Youngjin Ko', 'Soojin Bae', 'Woosik Choi']"
Collection and Analysis of Relational Data from Digital Archives.,2014,"['John W. Mohr', 'Petko Bogdanov']"
Geography and Web Communities.,2018,"['Catherine Dwyer', 'James Caverlee', 'Zhiyuan Cheng 0001']"
Benchmarking for Graph Clustering and Partitioning.,2014,"['Paolo Giordani', 'David A. Bader', 'Henning Meyerhenke', 'Peter Sanders 0001', 'Christian Schulz 0003', 'Andrea Kappes', 'Dorothea Wagner']"
Social Internet of Mobile Things and Decision Support Tools.,2018,"['Monica Wachowicz', 'Sangwhan Cha', 'Chiara Renso']"
Trust in Social Networks.,2014,"['Magdalena Bielenia-Grajewska', 'Zhen Wen']"
Combining Online Maps with Text Analysis.,2014,"['Jana Diesner', 'Marc A. Smith']"
Link Prediction: A Primer.,2018,"['Yang Yang 0008', 'Nitesh V. Chawla']"
